question,expected_source_id,expected_text_contains,should_refuse
Is multi-factor authentication required?,security-policy-2026,multi-factor authentication,false
Do employees have to use MFA?,security-policy-2026,multi-factor authentication,false
What security control is required for company systems?,security-policy-2026,multi-factor authentication,false
Can employees share passwords in chat?,security-policy-2026,Passwords must not be shared,false
Can passwords be sent through email?,security-policy-2026,Passwords must not be shared,false
Where should customer data be stored?,security-policy-2026,approved systems,false
Do employees need a business reason to access customer data?,security-policy-2026,documented business reason,false
Who approves access to customer data?,security-policy-2026,manager approval,false
What must security exceptions include?,security-policy-2026,owner,false
Who approves security exceptions?,security-policy-2026,Security team,false
How many days per week can employees work remotely?,handbook-2026,three days per week,false
Do employees need manager approval to work remotely?,handbook-2026,manager approval,false
What are core collaboration hours based on?,handbook-2026,business needs,false
How many vacation days do full-time employees receive?,handbook-2026,fifteen paid vacation days,false
Do unused vacation days roll over?,handbook-2026,do not roll over,false
When should employees report security incidents?,handbook-2026,within one business day,false
Where should security incidents be reported?,handbook-2026,Security team,false
How should urgent customer data incidents be handled?,handbook-2026,escalated immediately,false
What is the company travel reimbursement limit?,,,true
What is the parental leave policy?,,,true
How much is the annual bonus?,,,true
What is the laptop replacement schedule?,,,true
What are the office parking rules?,,,true
What is the procurement approval threshold?,,,true
What is the health insurance deductible?,,,true
